event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 11/28/2018 ,unknown,"West Bangkala, Indonesia", Indonesia , -5.476389 , 119.523611 ,bell,407,unknown,unknown,no,,turbine,non-fatal,0,0,0,2,2,unknown,1
 11/24/2018 ,vmc,"Alice Springs, Australia", Australia ,-23.6983884,133.8812885,robinson,r22,unknown,cruise,no,,reciprocating,fatal(1),1,1,0,0,2,unknown,1
 11/22/2018 ,vmc,"La Romana, Dominican Republic", Dominican Republic , 18.497222 , -68.958333 ,eurocopter,ec120,unknown,approach,no, N124ML ,turbine,fatal(5),5,0,0,0,5,unknown,1
 11/18/2018 ,vmc,"Knox City, TX", United States , 33.515000 , -99.953611 ,robinson,r44,business,unknown,no, N4167Y ,reciprocating,non-fatal,0,0,0,4,4,professional,1
 11/16/2018 ,vmc,"Clanton, AL", United States , 32.822223 , -86.459167 ,bell,oh58,positioning,maneuvering,no, N510CP ,turbine,fatal(2),2,0,0,0,2,professional,1
 11/13/2018 ,vmc,"Newberg, OR", United States , 45.323611 , -123.054167 ,guimbal,cabri,instructional,unknown,no, N370PA ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 11/10/2018 ,vmc,"Lihue, HI", United States , 21.966945 , -159.508333 ,robinson,r44,business,cruise,no, N445KP ,reciprocating,non-fatal,0,0,0,3,3,professional,1
 11/05/2018 ,unknown,"Saint Pierre, France, France", France , 46.830556 , 56.280556 ,amateur,amateur,unknown,unknown,yes,,reciprocating,fatal(1),1,1,0,0,2,unknown,1
 11/04/2018 ,vmc,"Uvalde, TX", United States , 29.368056 , -99.923889 ,bell,206,personal,cruise,no, N417WT ,turbine,fatal(3),3,0,0,0,3,private,1
 11/02/2018 ,vmc,"Wichita Falls, TX", United States , 33.941944 , -98.602222 ,bell,47,instructional,unknown,no, N1159W ,reciprocating,non-fatal,0,2,0,0,2,instructional,1
 11/02/2018 ,vmc,"McDougal, AR", United States , 36.436666 , -90.452500 ,hughes,369,external load,maneuvering,no, N5187S ,turbine,fatal(1),1,0,2,0,3,professional,1
 10/30/2018 ,vmc,"Kailua, HI", United States , 19.738889 , -156.045555 ,bell,430,unknown,takeoff,no, N430ST ,turbine,non-fatal,0,0,0,4,4,unknown,2
 10/30/2018 ,vmc,"Beekmantown, NY", United States , 44.744166 , -73.439166 ,aerospatiale,as355,external load,maneuvering,no, N372CA ,turbine,fatal(2),2,2,0,0,4,professional,2
 10/29/2018 ,vmc,"Odanah, WI", United States , 46.527223 , -90.602500 ,aerospatiale,as350,aerial observation,unknown,no, N910S ,turbine,fatal(1),1,0,0,0,1,professional,1
 10/27/2018 ,vmc,"Carson City, NV", United States , 39.208889 , -119.804722 ,bell,oh58,aerial observation,unknown,no, N1032F ,turbine,non-fatal,0,0,3,0,3,professional,1
 10/27/2018 ,vmc,"Leicester, United Kingdom", United Kingdom ,52.6361398,-1.1330789,agusta,aw169,unknown,takeoff,no,,turbine,fatal(5),5,0,0,0,5,unknown,2
 10/27/2018 ,vmc,"Passaic, MO", United States , 38.321945 , -94.346944 ,amateur,amateur,personal,maneuvering,yes, N162RF ,reciprocating,non-fatal,0,0,0,1,1,private,1
 10/24/2018 ,vmc,"Valparaiso, Chile", Chile , -33.076667 , -71.176111 ,bell,uh1d,external load,approach,no,,turbine,non-fatal,0,2,0,0,2,professional,1
 10/23/2018 ,vmc,"Vermaaklikheid, South Africa", South Africa , -34.307778 , 21.024445 ,bell,212,firefighting,maneuvering,no,,turbine,fatal(1),1,0,0,0,1,professional,2
 10/22/2018 ,vmc,"Kaneohe, HI", United States , 21.467500 , -157.803889 ,robinson,r44,business,unknown,no, N4132H ,reciprocating,non-fatal,0,3,0,0,3,professional,1
 10/18/2018 ,vmc,"Wanaka, New Zealand", New Zealand , -44.708889 , 169.237222 ,hughes,369,unknown,takeoff,no,,turbine,fatal(3),3,0,0,0,3,unknown,1
 10/17/2018 ,vmc,"Fulton, MO", United States , 38.858889 , -91.909444 ,robinson,r22,instructional,cruise,no, N923SH ,reciprocating,fatal(1),1,0,0,0,1,instructional,1
 10/07/2018 ,vmc,"Bridgeville, DE", United States , 38.715278 , -75.570556 ,enstrom,f28,aerial observation,takeoff,no, N5691Y ,reciprocating,non-fatal,0,0,0,4,4,professional,1
 10/06/2018 ,vmc,"Salinas, CA", United States , 36.662778 , -121.606389 ,robinson,r44,personal,unknown,no, N611TH ,reciprocating,non-fatal,0,0,0,1,1,private,1
 10/01/2018 ,vmc,"Bodaybo, Russia", Russia ,57.8500317,114.2038284,robinson,r44,unknown,cruise,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 09/30/2018 ,vmc,"Westminster, MD", United States , 39.571389 , -76.989722 ,robinson,r44,aerial observation,standing,no, N440SH ,reciprocating,non-fatal,0,0,0,1,1,professional,1
 09/29/2018 ,vmc,"Ruidoso, NM", United States , 33.396666 , -105.785833 ,eurocopter,as350,unknown,unknown,no, N894NA ,turbine,non-fatal,0,0,2,0,2,unknown,1
 09/28/2018 ,unknown,"Gustavus, AK", United States , 58.595277 , -137.594444 ,eurocopter,as350,personal,cruise,no, N907PL ,turbine,fatal(3),3,1,0,0,4,private,1
 09/25/2018 ,imc,"Buttonville, Canada", Canada ,43.8643653,-79.3618098,robinson,r44,unknown,cruise,no,,reciprocating,fatal(1),1,0,0,0,1,unknown,1
 09/24/2018 ,vmc,"Juan Diaz, PR", United States , 17.990833 , -66.500278 ,bell,oh58,personal,maneuvering,no, N206WH ,turbine,non-fatal,0,0,3,0,3,private,1
 09/20/2018 ,vmc,"Frankfort, KS", United States , 39.705556 , -96.416945 ,hiller,uh12,business,unknown,no, N1349A ,reciprocating,non-fatal,0,0,1,0,1,professional,1
 09/18/2018 ,unknown,"Honolulu, HI", United States ,21.304547,-157.8556764,robinson,r44,personal,unknown,no, N632NV ,reciprocating,non-fatal,0,0,0,3,3,private,1
 09/15/2018 ,vmc,"Granada Hills, CA", United States , 34.285833 , -118.494444 ,schweizer,269,instructional,cruise,no, N2128T ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 09/12/2018 ,vmc,"Billings, MT", United States , 45.000000 , -108.000000 ,amateur,amateur,personal,maneuvering,yes, N166LC ,reciprocating,fatal(1),1,0,0,0,1,private,1
 09/10/2018 ,unknown,"Bartica, Guyana", Guyana , 6.058889 , -58.779167 ,bell,206,unknown,maneuvering,no,,turbine,non-fatal,0,0,0,3,3,unknown,1
 09/08/2018 ,vmc,"Highgate, VT", United States , 44.933611 , -73.094444 ,amateur,amateur,instructional,unknown,yes, N699WC ,reciprocating,non-fatal,0,0,0,1,1,instructional,1
 09/06/2018 ,unknown,"Bostanci, Turkey", Turkey , 40.947222 , 29.094166 ,bell,430,unknown,unknown,no,,turbine,fatal(1),1,1,0,0,2,unknown,2
 09/06/2018 ,unknown,"Kyiv, Ukraine", Ukraine ,50.4500336,30.5241361,bolkow,bk117,unknown,takeoff,no,,turbine,non-fatal,0,1,0,1,2,unknown,2
